epsilon_over_mass_per_kg,floquet_growth_per_tau,stable,mode_analysis_success,worst_b1_over_b0,worst_b2_over_b1,worst_b2_over_b0,max_abs_beta,pseudopotential_valid,classification,classification_label
4.1539853548498383e+10,0.0000000000000000e+00,True,True,1.0621065089322328e-15,0.0000000000000000e+00,6.2804436984187298e-16,4.3408177729077650e-09,True,2,Stable; pseudopotential valid
4.3947745029709183e+10,2.0835015684249479e-09,True,True,1.0417774091820449e-09,5.0003763371919085e-01,5.2092791054949885e-10,4.4648551315109523e-09,False,1,Stable; pseudopotential not valid
4.6495211903946495e+10,2.2837188978294414e-09,True,True,1.1418880223630000e-09,5.0003756437225111e-01,5.7098666440842797e-10,4.5924368117405890e-09,False,1,Stable; pseudopotential not valid
4.9190344772672241e+10,2.6518481678788178e-09,True,True,1.3259576899424538e-09,5.0003771011613307e-01,6.6302884698970206e-10,4.7236640997097591e-09,False,1,Stable; pseudopotential not valid
5.2041703215659103e+10,3.4372916519150719e-09,True,True,1.7186889264232261e-09,5.0003773724158018e-01,8.5940926629360177e-10,4.8586411548941171e-09,False,1,Stable; pseudopotential not valid
5.5058342975700241e+10,3.3798951507110279e-09,True,True,1.6899904183647314e-09,5.0003748683692695e-01,8.4505856157758715e-10,4.9974751407745159e-09,False,1,Stable; pseudopotential not valid
5.8249844719104279e+10,3.4381858825238566e-09,True,True,1.7191369122433937e-09,5.0003767663543286e-01,8.5963322741639863e-10,5.1402762553341093e-09,False,1,Stable; pseudopotential not valid
6.1626344463313499e+10,3.2510462170934809e-09,True,True,1.6255642487760881e-09,5.0003768105620561e-01,8.1284326314372267e-10,5.2871578620914296e-09,False,1,Stable; pseudopotential not valid
6.5198565768286057e+10,0.0000000000000000e+00,True,True,1.4631526918580507e-15,0.0000000000000000e+00,6.1657218140864849e-16,5.4382365596920163e-09,True,2,Stable; pseudopotential valid
6.8977853793876724e+10,3.8911361614695667e-09,True,True,1.9456161573138195e-09,5.0003762518447714e-01,9.7288128282375015e-10,5.5936322785474072e-09,False,1,Stable; pseudopotential not valid
7.2976211331381424e+10,3.9221090386884643e-09,True,True,1.9611040310468994e-09,5.0003767945464117e-01,9.8062589215651388e-10,5.7534683760392659e-09,False,1,Stable; pseudopotential not valid
7.7206336923681137e+10,5.2191951262476630e-09,True,True,2.6096632406857375e-09,5.0003770101254708e-01,1.3049300072894495e-09,5.9178714798153579e-09,False,1,Stable; pseudopotential not valid
